code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
603255,鼎际得,SH,化学制品,3.05,1117.84,1051.97,18.61%,8.41,1142.12,1173.85,13.68%,7.81,-1213.21,-1683.87,13.93%
601339,百隆东方,SH,纺织制造,19.88,2.43,2.43,17.07%,78.61,6.56,6.56,13.67%,79.41,4.1,4.1,10.20%
1278,一彬科技,SZ,汽车零部件,4.5,-4263.26,-4601.42,10.72%,21.82,-7402.33,-8507.6,13.66%,21.84,3051,2481.9,20.15%
688079,美迪凯,SH,光学光电子,1.69,-4148.74,-4223.23,18.06%,6.64,-1.57,-1.61,13.66%,4.86,-1.02,-1.07,18.57%
928,中钢国际,SZ,专业工程,28.79,1.85,1.92,15.12%,139.14,4.85,5.22,13.65%,176.47,8.35,8.74,14.50%
1314,亿道信息,SZ,消费电子,11.34,4291.13,4343.24,14.10%,45.83,6535.91,6188.4,13.65%,31.8,3408.3,3307.64,15.28%
678,襄阳轴承,SZ,汽车零部件,3.23,-1899.82,-2385.67,10.24%,15.39,-4912.47,-6996.39,13.63%,14.55,-3536.92,-5179.65,10.85%
2608,江苏国信,SZ,电力,85.52,7.8,10.02,8.05%,346.11,34.65,47.44,13.63%,359.45,32.38,43.77,11.41%
300343,联创股份,SZ,化学制品,2.57,813.66,876.48,14.17%,9.99,3906.79,3539.48,13.63%,8.69,2186.22,2242.15,10.78%
2735,王子新材,SZ,包装印刷,5.27,1008.3,604.54,12.07%,21.58,-1.58,-1.68,13.62%,19.89,-6850.25,-7631.31,16.81%
300511,雪榕生物,SZ,种植业,6.79,1.73,1.76,33.63%,19.88,2979.4,3841.87,13.62%,21.62,-6.17,-6.16,3.60%
603065,宿迁联盛,SH,化学制品,3.23,543.9,543.9,13.05%,12.96,-1292.06,-1292.06,13.62%,15.04,3935.89,3941.16,13.71%
688620,安凯微,SH,半导体,1.5,-1963.01,-2022.44,26.77%,5.37,-1.4,-1.4,13.62%,5.27,-5676.82,-5676.82,18.25%
600309,万华化学,SH,化学制品,540.52,37.18,43.62,14.73%,2032.35,125.27,140.4,13.61%,1820.69,130.33,147.91,16.16%
600376,首开股份,SH,房地产开发,49.22,-7.55,-8.35,7.79%,300.97,-66.25,-70.57,13.61%,242.13,-81.41,-94.19,4.80%
600478,科力远,SH,电池,9.09,3875.07,3868.91,14.82%,57.46,1.4,4955.91,13.60%,39.38,7814.2,4680.47,14.48%
605018,长华集团,SH,汽车零部件,4.49,1542.61,1542.61,12.99%,21.55,9523.87,9523.87,13.60%,22.07,1.14,1.14,13.49%
688585,上纬新材,SH,塑料,4.18,-4106.86,-4106.66,12.54%,17.97,4108.56,4132,13.60%,14.94,8868.14,8999.08,15.87%
1696,宗申动力,SZ,通用设备,30.53,1.72,1.79,12.88%,123.1,6.66,6.75,13.59%,103.84,4.61,4.96,13.58%
601021,春秋航空,SH,航空机场,60.7,9.83,9.83,20.05%,214.6,23.17,23.17,13.59%,200,22.73,22.73,12.94%
550,江铃汽车,SZ,商用车,90.36,3.4,3.38,11.76%,391.7,11.87,8.19,13.58%,383.74,15.37,12.05,14.13%
300745,欣锐科技,SZ,汽车零部件,6.23,535.26,534.25,13.87%,26.7,-1.2,-1.2,13.57%,22.37,-1.22,-1.22,11.45%
600449,宁夏建材,SH,水泥,4.61,-452.59,-627.24,6.99%,51.73,1.82,1.8,13.56%,86.53,2.41,2.31,7.33%
926,福星股份,SZ,房地产开发,4.01,-1.33,-1.36,2.45%,38.35,-41.28,-41.82,13.55%,87.57,-26.01,-26.54,15.35%
601068,中铝国际,SH,专业工程,43.17,7570.7,9456.2,11.97%,230.6,2.58,3.81,13.54%,240.03,2.21,2.68,12.21%
300185,通裕重工,SZ,风电设备,15.44,4129.17,4220.82,14.00%,65.88,6548.97,6833.84,13.53%,61.54,4137.6,4160.02,12.73%
68,华控赛格,SZ,环境治理,4839.39,-1816.52,-1507.92,12.24%,8.32,-1.05,-9159.59,13.52%,11.05,1703.47,1910.33,6.25%
2347,泰尔股份,SZ,通用设备,2.61,-763.49,-743.73,18.64%,10.9,-9494.09,-1.02,13.52%,10.74,1459.05,1982.07,19.36%
688671,碧兴物联,SH,环保设备Ⅱ,4743.62,-1714.83,-1732.61,26.51%,3.26,-8542.52,-8543.18,13.52%,3.29,-3854.61,-3792.17,24.30%
55,方大集团,SZ,装修建材,7.29,2820.13,2821.06,18.79%,33.77,-5.15,-5.15,13.49%,44.24,1.45,1.46,18.90%
300778,新城市,SZ,工程咨询服务Ⅱ,2280.27,-1702.03,-1701.83,-22.76%,1.44,-2876.67,-2887.76,13.49%,1.99,-1.65,-1.65,39.22%
